name,brand,price_ref,jd_price,zol_id,产品型号,电商报价,上市时间,产品类型,产品定位,操作系统,CPU系列,CPU型号,CPU主频,最高睿频,核心/线程数,三级缓存,核心代号,制程工艺,功耗,内存容量,内存类型,硬盘容量,硬盘描述,屏幕类型,屏幕尺寸,显示比例,屏幕分辨率,亮度,屏占比,屏幕刷新率,响应时间,屏幕技术,DCI-P3色域,显卡类型,显卡芯片,显存容量,摄像头,音频系统,扬声器,麦克风,无线网卡,蓝牙,数据接口,指取设备,键盘描述,人脸识别,电池类型,电源适配器,笔记本重量,长度,宽度,厚度,外壳材质,外壳描述,安全性能,其它特点,变形方式,插槽数量,最大内存容量,触控屏,色域,屏幕边框,显存类型,显存位宽,有线网卡,其它接口,二级缓存,续航时间,散热系统,附带软件,sRGB色域,读卡器,对比度,像素密度,指纹识别,特色功能,包装清单,保修政策,质保时间,Adobe RGB色域,显卡最高功耗,独显直连,工作温度,工作湿度,存储温度,DeltaE,NFC,error,pub_date,总线规格,NTSC色域
联想开天N80z G2e(兆芯KX-7000),联想,¥7799,,2138090,开天N80z G2e,￥8599,,商用,商务办公本,政企版系统银河麒麟/统信UOS+WPS,,兆芯 KX-7000,,3.5GHz运行流畅,八核心/八线程多任务运行强,,,16nm,,16GB极速运行,DDR5 4800MHz,1TB,SSD固态硬盘,LCD,14.5英寸14.5游戏、便捷,16:10,2560x1600超高清屏,350nit,81%,90Hz,,,,集成显卡,,共享内存容量 略显吃力,集成摄像头普清,内置音效芯片,内置2W*2扬声器,内置麦克风,WiFi6: ，支持802.11ax无线协议,支持，蓝牙5.2模块,左侧：2×USB 3.0 Type-C，1×USB 3.0 右侧：1×USB 3.0，1×USB 2.0，1×HDMI2.1,触摸板,全尺寸键盘,,锂电池，85瓦时,100V-240V 自适应交流电源适配器,1.5Kg,323mm,228mm,16.9mm,全金属机身,,,,,,,不支持触控,,,,,1000Mbps以太网卡,1×RJ45（网络接口），电源接口,,视具体使用环境而定长续航笔记本,双风扇，双水冷液管,,100%,,,,,,,,,,,,,,,,,,,,
ThinkPad T16G 2026(Ultra9-285HX),联想,¥53399,,2154570,,￥55499,2025年,商用,创意设计PC,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿Ultra 9系列,Intel 酷睿Ultra 9 275HX,,5.4GHz运行流畅,24核心/24线程,36MB,,3nm,,64GB极速运行,DDR5 5600MHz,6TB,SSD固态硬盘（PCIe4.0）,IPS,16英寸16,16:10,3840x2160超高清屏,800nits,82%,,,HDR400，莱茵低蓝光,100%,发烧级独立显卡,NVIDIA RTX 5090,24GB显示流畅,1080p FHD摄像头（IR）高清,,,,WiFi7,支持，蓝牙5.4模块,2×USB3.2 Gen2，1×Thunderbolt 4，2×Thunderbolt 5，1×HDMI 2.1，3.5mm耳机/麦克风二合一接口,触摸板,全尺寸键盘（包含独立数字键盘）,支持智能人脸识别功能,锂电池，99.9瓦时,100W USB Type-C电源适配器,2.54Kg,362mm,252mm,15.8mm,,,,,,4xSO-DIMM,192GB,不支持触控,,,GDDR7,,1000Mbps以太网卡,1×RJ45（网络接口）,,,,,,,,,支持智能指纹识别功能,,,,,,,,,,,,,,,,
联想启天D10(奔腾5030),联想,¥4999,,1930077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch_failed,,,
惠普战66 七代 酷睿Ultra版,惠普,¥5199,,2004352,,,2024年05月,商用,轻薄笔记本商务办公本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿 Ultra 5系列,Intel 酷睿 Ultra 5 125H,,4.5GHz运行流畅,14核心/18线程,18MB,,7nm,,16GB极速运行,DDR5 5600MHz,512GB,SSD固态硬盘（PCIe4.0）,IPS,14英寸14游戏、便捷,16:10,1920x1200全高清屏,400nits,,60Hz,,DC调光，SGS低蓝光认证,,核芯显卡,,共享内存容量 略显吃力,500万像素摄像头（IR）,poly studio,,,WiFi6E，支持802.11ax无线协议,支持，蓝牙5.3模块,左侧：1×USB，2×USB Type-C 右侧：1×USB，1×HDMI，3.5mm耳机/麦克风二合一接口,触摸板,背光键盘,支持智能人脸识别功能,锂电池，56瓦时,65W USB Type-C电源适配器,1.44Kg,,,10.9-17mm,,,,180°开合: ，MIL-STD-810H标准: ，电源键指纹二合一,,2xSO-DIMM,32GB,不支持触控,,,,,,1×RJ45（网络接口）,,,,,100%,,,,支持智能指纹识别功能,,,,,,,,,,,,,,,,
ThinkPad X13 2023 酷睿版,联想,¥8199,,2105359,ThinkPad X13 2023酷睿版,,2023年,商用,轻薄笔记本商务办公本,预装家庭中文版Windows 11,英特尔 酷睿i5 13代系列,Intel 酷睿i5 1340P中端主流机,,4.6GHz运行流畅,12核心/16线程,12MB,,10nm,,16GB极速运行,LPDDR5 4800MHZ,2TB,SSD固态硬盘,LED,13.3英寸13.3移动、办公,16:10,1920x1200全高清屏,300nits,84.2%,60Hz,,,,,,共享内存容量 略显吃力,500万像素红外摄像头,杜比认证音效,立体声扬声器,抗噪麦克风,WiFi6: ，支持802.11ax无线协议,,2xUSB 3.2 Gen1 2xThunderbolt 4全功能接口，HDMI 2.0b，耳机/麦克风二合一接口,触摸板，指点杆,全尺寸键盘,,锂电池，54.7瓦时,,1.26Kg,,,,,,,,,,2TB,不支持触控,sRGB：100%,,,,1000Mbps以太网卡,安全锁孔，SIM卡插槽,,视具体使用环境而定长续航笔记本,双风扇散热,,,,,,支持智能指纹识别功能,,笔记本x1 电源适配器x1 用户指南x1,全国联保，享受三包服务,1年,,,,,,,,,,,,
惠普EliteBook 840 G10(i7-1355U),惠普,¥8099,,2080298,EliteBook 840 G10,￥6799,,商用,轻薄笔记本商务办公本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i7 13代系列,Intel 酷睿i7 1355U高端机,,5GHz运行流畅,10核心/12线程,12MB,,,15W中等耗电,16GB极速运行,DDR5 4800MHz,1TB,SSD固态硬盘（PCIe4.0）,IPS,14英寸14游戏、便捷,16:10,1920x1200全高清屏,250nits,,120Hz,,防眩光屏,,集成显卡,Intel Iris Xe Graphics,共享内存容量 略显吃力,集成500万像素摄像头（IR）普清,内置音效芯片,双立体声扬声器,双阵列式后置麦克风,WiFi6E，支持802.11ax无线协议,,左侧：1×USB3.1 Type-A，2×Thunderbolt4 右侧：1×USB3.1 Type-A，1×HDMI2.0，1×耳机/麦克风二合一接口,触摸板,背光键盘,支持智能人脸识别功能,3芯锂电池，51瓦时,100V-240V 65W 自适应交流电源适配器,1.36Kg,315.6mm,224mm,19.2mm,金属材质,银色,,,,2xSO-DIMM,64GB,不支持触控,,,,,,1×安全锁口，1×NANO SIM卡槽,,视具体使用环境而定长续航笔记本,,,100%,,,,支持智能指纹识别功能,,,,,,,,,,,,,,,,
ThinkPad P16v AI 2024(Ultra7-155H),联想,¥20799,,2139135,,,2024年04月,商用,创意设计PC,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿 Ultra 7系列,英特尔 酷睿Ultra 7 155H,,4.8GHz运行流畅,16核心/22线程,,,,,96GB极速运行,DDR5 5600MHz,4TB,SSD固态硬盘（PCIe4.0）,,16英寸16,,1920x1200全高清屏,800nits,,,,,100%,专业级独立显卡,NVIDIA RTX 2000Ada,16GB显示流畅,,,,,WiFi6E，Intel AX211，支持802.11ax无线协议,支持，蓝牙5.1模块,,触摸板,全尺寸键盘（包含独立数字键盘）,,锂电池，90瓦时,,,,,,,,,MIL-STD-810H标准,,2xSO-DIMM,96GB,不支持触控,,,GDDR6,,1000Mbps以太网卡,,,,,,,,,,,,,,,,,,,,,,,,,,
联想拯救者R9000P 2025 AI元启 Ryzen 9 8945HX/32GB/1TB/RTX5070lenovo 拯救者R9000P 2025 AI元启,联想,,,2127515,LEGION R9000P ADR,￥17499,2025年05月,家用,游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,AMD Ryzen 8000系列,AMD Ryzen 9 8945HX,2.5GHz,5.4GHz运行流畅,16核心/32线程,64MB,Zen 4,5nm,120W耗电高,32GB（16GB×2）极速运行热门游戏本,DDR5 5200MHz,1TB,SSD固态硬盘（PCIe4.0）,,16英寸16,,2560x1600超高清屏,500nits,,240Hz,3ms,莱茵TUV认证，Dolby VISION，DisplayHDR 400,100%,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce RTX5070,8GB显示流畅,HD摄像头高清,Nahimic音效,旗舰4扬声器,,WiFi7,支持，蓝牙5.4模块,2×USB-C，1×USB-A 10Gbps，2×USB-A 5Gbps，1×HDMI，3.5mm耳机/麦克风二合一接口,一体式精准触摸板,背光键盘,,锂电池，80瓦时,,2Kg,,,25mm,,冰魄白，碳晶黑,,,,2xSO-DIMM,,不支持触控,,,DDR7,,2.5Gbps以太网卡,1×RJ45（网络接口），电源接口,16MB,,乾坤Pro散热,Office家庭和学生版,,,,,,天禧个人超级智能体,,,,,115W,,,,,,,,2025年05月,,
联想拯救者Y9000P 2026 i9-14900HX/16GB/1TB/RTX5060lenovo 拯救者Y9000P 2026 i9-14900HX/16G,联想,,,2167818,拯救者Y9000P 2026,￥13999,2026年05月,家用,游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i9 14代系列,Intel 酷睿i9 14900HX旗舰机,2.2GHz,5.8GHz运行流畅,24核心/32线程,36MB,Raptor Lake,7nm,140W耗电高,16GB（16GB×1）极速运行热门游戏本,DDR5 5600MHz,1TB,SSD固态硬盘（PCIe4.0）,专业超竞屏,16英寸16,16:10,2560x1600超高清屏,500nits,,240Hz,3ms,硬件级低蓝光，莱茵TUV认证，G-SYNC，FreeSync Premium，DisplayHDR 400,100%,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce RTX5060,8GB显示流畅,HD摄像头高清,Nahimic音效,旗舰4扬声器,内置麦克风,WiFi7,支持蓝牙功能,左侧：2×USB-C，1×USB-A 右侧：2×USB-A，1×HDMI2.1，3.5mm耳机/麦克风二合一接口,一体式精准触摸板,背光键盘,,锂电池，80瓦时,300W 自适应交流电源适配器,2.5Kg,364.38mm,275.9mm,21.9-26.7mm,金属+复合材质,碳晶黑，冰魄白,,,,,,不支持触控,,,GDDR7,128bit,2.5Gbps以太网卡,1×RJ45（网络接口），电源接口,,,第二代乾坤Pro散热系统,正版 Office,,,,,,,,,,,115W,支持,,,,,,,2026年05月,,
七彩虹隐星P16 Pro i9-13900HX/32GB/1TB/RTX5070TiColorful 隐星P16 Pro i9-13900HX/32GB/1TB,七彩虹,,,2130961,隐星P16 Pro,,2025年05月,家用,游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i9 13代系列,Intel 酷睿i9 13900HX旗舰机,,5.4GHz运行流畅,24核心/32线程,36MB,Raptor Lake,7nm,,32GB极速运行热门游戏本,DDR5,1TB,SSD固态硬盘（PCIe4.0）,IPS,16英寸16,,2560x1600超高清屏,,,165Hz,,,,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce RTX5070Ti,12GB显示流畅,,,,,WiFi6E，支持802.11ax无线协议,,左侧：1×USB3.2 Gen 1(Type A) 右侧：1×Type-C（USB3.2GEN2支持视频输出），1×USB3.2 Gen 2(Type A) 后置：1×Type-C（USB3.2GEN2支持视频输出），1×HDMI，3.5mm耳机/麦克风二合一接口,,背光键盘，全尺寸键盘（包含独立数字键盘）,,,,,361mm,259mm,25.4mm,,雾屿白,,,,,,,,,GDDR7,,,1×RJ45（网络接口），电源接口,,,寒极3.0散热架构,,100%,,,,,,,,,,,支持,,,,,,,2025年05月,,
华硕灵耀14 2025 Ultra9 285H/32GB/1TBASUS 灵耀14 2025 Ultra9 285H/32GB/1TB笔记本电脑_规格_性能_功,华硕,,,2128460,UX3405C,￥8499,2025年05月,商用,轻薄笔记本商务办公本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿 Ultra 9 200系列,Intel 酷睿 Ultra 9 285H,2.9GHz,5.5GHz运行流畅,16核心/16线程,24MB,Arrow Lake,3nm,45W耗电高,32GB极速运行,LPDDR5X（低功耗版）7467MHz,1TB,SSD固态硬盘（PCle 4.0）,OLED屏,14英寸14游戏、便捷,16:10,2880x1800超高清屏,600nits,,120Hz,0.2ms,莱茵硬件级低蓝光，无频闪认证，SGS Eye Care护眼认证,100%,核芯显卡,Intel Iris Xe Graphics,共享内存容量 略显吃力,1080p FHD摄像头（IR）高清,哈曼卡顿调校，杜比全景声,立体声扬声器,内置麦克风，AI语音降噪视频降噪,WiFi7,支持蓝牙功能,左侧：1×USB3.0接口 右侧：2×Thunderbolt4，1×HDMI2.1接口，3.5mm耳机/麦克风二合一接口,触摸板,背光键盘,支持智能人脸识别功能,4芯锂电池，75瓦时,USB Type-C电源适配器,1.19Kg,312mm,220mm,13.9mm,A/C/D面金属材质，B面复合材质,冰川银，夜空蓝,,MIL-STD-810H标准,翻转,,,不支持触控,DCI-P3：100%，sRGB：133%,,,,,,,约18小时左右，视具体使用环境而定长续航笔记本,,,,,1000000：1,,,,,,,,,,,,,＜1,,,2025年05月,,
